,District,Age,Sex,Urban,Educated,Income
0,8,28,M,True,True,21282
1,6,74,F,False,True,53964
2,1,26,M,False,False,49246
3,1,69,F,True,True,92849
4,5,74,M,False,False,5140
5,0,69,F,True,False,14210
6,1,27,M,True,True,84100
7,4,19,F,False,True,48770
8,8,42,F,True,True,19992
9,8,27,M,True,True,5680
10,7,67,F,False,False,19969
11,9,50,F,True,False,26487
12,0,46,M,True,True,18777
13,8,45,F,False,True,16147
14,8,25,F,False,True,17218
15,0,70,F,True,True,86565
16,9,32,F,True,True,99712
17,9,25,F,False,False,43031
18,0,28,M,True,True,159731
19,0,45,M,True,True,72707
20,0,47,M,True,False,126585
21,0,75,F,True,True,133911
22,1,27,M,True,False,24437
23,1,50,F,True,True,11920
24,0,58,M,True,True,25336
25,0,62,M,True,True,9648
26,0,63,M,True,True,43623
27,3,66,F,False,False,11457
28,5,57,M,False,False,9010
29,2,27,F,True,True,9778
30,6,28,F,True,False,63000
31,0,54,M,False,False,36137
32,8,67,M,False,False,37753
33,7,40,F,True,False,21712
34,8,43,F,True,True,46930
35,5,49,M,False,False,25039
36,0,27,M,True,True,77302
37,3,25,F,False,False,41157
38,1,57,M,False,True,26521
39,5,18,F,True,True,39586
40,8,54,M,True,False,5342
41,1,29,F,False,False,95218
42,8,46,M,False,True,19092
43,9,36,F,True,True,59543
44,8,20,F,False,False,18373
45,7,40,F,False,False,18917
46,9,44,M,True,True,55518
47,0,67,M,True,True,15045
48,0,20,M,True,True,115160
49,6,82,F,False,False,13605
50,8,71,M,False,False,34296
51,0,76,F,True,True,33993
52,5,25,M,False,False,24957
53,0,55,M,False,False,6411
54,0,56,M,True,True,104726
55,8,21,M,False,False,18266
56,0,78,M,True,True,159122
57,0,52,M,False,True,21914
58,4,54,M,False,False,2880
59,8,57,M,False,False,26003
60,1,71,M,True,True,54118
61,0,52,F,True,True,9811
62,6,47,F,False,False,46976
63,6,44,M,False,False,10792
64,0,45,M,True,True,28556
65,8,25,M,False,True,20585
66,0,73,M,True,True,76702
67,4,59,M,False,True,4779
68,6,61,F,True,True,75238
69,6,31,M,True,True,26113
70,3,55,M,True,False,19793
71,3,18,F,True,True,76403
72,0,77,M,True,True,151898
73,7,62,F,True,False,66000
74,0,21,M,True,True,185837
75,1,29,M,False,False,30205
76,5,30,F,False,False,52911
77,3,31,M,False,False,40490
78,1,83,M,True,True,10740
79,3,35,M,False,False,8835
80,8,58,M,False,False,6732
81,2,69,F,False,True,14277
82,7,53,F,True,False,47661
83,2,36,M,False,False,28849
84,1,73,F,False,False,24688
85,8,35,F,False,False,16404
86,3,78,F,False,False,60851
87,7,21,M,True,False,68212
88,1,78,F,True,True,23561
89,4,22,M,False,True,30399
90,0,19,M,False,True,92567
91,0,62,M,True,True,23107
92,0,71,M,False,True,34555
93,1,62,M,False,False,13607
94,8,38,M,False,False,9396
95,3,48,F,True,True,27531
96,0,36,M,True,True,205192
97,6,48,F,False,False,34960
98,4,84,M,False,False,38394
99,1,31,F,False,True,8335
100,0,76,M,True,False,118538
101,9,52,M,False,True,32290
102,9,83,F,False,True,9758
103,9,55,M,True,True,39310
104,9,68,F,True,True,97595
105,1,69,F,False,True,67511
106,0,18,F,True,True,17969
107,9,72,M,False,True,6369
108,0,43,F,True,True,85793
109,2,29,M,False,False,36684
110,6,64,M,False,True,33863
111,9,69,M,True,True,58209
112,2,60,M,False,True,8347
113,0,33,M,True,True,133788
114,1,57,M,False,False,1875
115,4,33,M,False,False,33587
116,0,30,F,True,True,93252
117,0,45,M,True,True,94722
118,0,73,F,True,True,181951
